run_label,parameter_name,parameter_value,subgroup,rows,log_loss,auc,accuracy
baseline,baseline,baseline,female_fights,191,0.6745509505271912,0.6012797881729921,0.5340314136125655
colsample_bytree=0.6,colsample_bytree,0.6,female_fights,191,0.6749625205993652,0.6021624007060901,0.5654450261780105
colsample_bytree=0.7,colsample_bytree,0.7,female_fights,191,0.6732594966888428,0.603045013239188,0.5654450261780105
colsample_bytree=0.9,colsample_bytree,0.9,female_fights,191,0.6720380783081055,0.6051412180052957,0.5497382198952879
colsample_bytree=1.0,colsample_bytree,1.0,female_fights,191,0.6747432351112366,0.601279788172992,0.5392670157068062
gamma=0.5,gamma,0.5,female_fights,191,0.6745703220367432,0.6012797881729921,0.5340314136125655
gamma=1.0,gamma,1.0,female_fights,191,0.6733307242393494,0.6062444836716682,0.5445026178010471
gamma=2.0,gamma,2.0,female_fights,191,0.6752035021781921,0.6021624007060901,0.5445026178010471
learning_rate=0.03,learning_rate,0.03,female_fights,191,0.6739714741706848,0.6032656663724625,0.5549738219895288
learning_rate=0.07,learning_rate,0.07,female_fights,191,0.6728953123092651,0.6045344218887908,0.5445026178010471
learning_rate=0.1,learning_rate,0.1,female_fights,191,0.6726222634315491,0.6058031774051191,0.5654450261780105
max_depth=3,max_depth,3,female_fights,191,0.6773683428764343,0.5946601941747572,0.5759162303664922
max_depth=5,max_depth,5,female_fights,191,0.6746103763580322,0.6030450132391879,0.5602094240837696
max_depth=6,max_depth,6,female_fights,191,0.6720266938209534,0.6127537511032657,0.5549738219895288
min_child_weight=1,min_child_weight,1,female_fights,191,0.6755455732345581,0.5997352162400706,0.5497382198952879
min_child_weight=5,min_child_weight,5,female_fights,191,0.6743807196617126,0.6029346866725508,0.5549738219895288
min_child_weight=7,min_child_weight,7,female_fights,191,0.673892617225647,0.6037069726390115,0.5654450261780105
n_estimators=150,n_estimators,150,female_fights,191,0.6745509505271912,0.6012797881729921,0.5340314136125655
n_estimators=500,n_estimators,500,female_fights,191,0.6745509505271912,0.6012797881729921,0.5340314136125655
n_estimators=800,n_estimators,800,female_fights,191,0.6745509505271912,0.6012797881729921,0.5340314136125655
reg_alpha=0.1,reg_alpha,0.1,female_fights,191,0.6730250716209412,0.608009708737864,0.5445026178010471
reg_alpha=0.5,reg_alpha,0.5,female_fights,191,0.6733314394950867,0.604368932038835,0.5392670157068062
reg_alpha=1.0,reg_alpha,1.0,female_fights,191,0.6769327521324158,0.598080317740512,0.5392670157068062
reg_lambda=10.0,reg_lambda,10.0,female_fights,191,0.6773265600204468,0.6003971756398941,0.5497382198952879
reg_lambda=2.0,reg_lambda,2.0,female_fights,191,0.6775302290916443,0.5968115622241835,0.5497382198952879
reg_lambda=5.0,reg_lambda,5.0,female_fights,191,0.6773220896720886,0.5981906443071492,0.5340314136125655
subsample=0.6,subsample,0.6,female_fights,191,0.6744314432144165,0.6063548102383054,0.5602094240837696
subsample=0.7,subsample,0.7,female_fights,191,0.6734256148338318,0.6069064430714917,0.5549738219895288
subsample=0.9,subsample,0.9,female_fights,191,0.6706448793411255,0.6125330979699912,0.581151832460733
subsample=1.0,subsample,1.0,female_fights,191,0.6740003824234009,0.6062444836716682,0.5497382198952879
baseline,baseline,baseline,low_experience,589,0.6546421647071838,0.6454022306597057,0.6196943972835314
colsample_bytree=0.6,colsample_bytree,0.6,low_experience,589,0.6564106345176697,0.6414451827242524,0.6196943972835314
colsample_bytree=0.7,colsample_bytree,0.7,low_experience,589,0.6573386192321777,0.6398849074513526,0.6162988115449916
colsample_bytree=0.9,colsample_bytree,0.9,low_experience,589,0.6539616584777832,0.6447971048884671,0.6129032258064516
colsample_bytree=1.0,colsample_bytree,1.0,low_experience,589,0.6554994583129883,0.642625771238728,0.6146010186757216
gamma=0.5,gamma,0.5,low_experience,589,0.6546708345413208,0.6453429046037019,0.6196943972835314
gamma=1.0,gamma,1.0,low_experience,589,0.6556851863861084,0.6406205505457998,0.6196943972835314
gamma=2.0,gamma,2.0,low_experience,589,0.6553299427032471,0.6420918367346939,0.6196943972835314
learning_rate=0.03,learning_rate,0.03,low_experience,589,0.6547987461090088,0.6413502610346464,0.6061120543293718
learning_rate=0.07,learning_rate,0.07,low_experience,589,0.6578834056854248,0.6376423825344091,0.6162988115449916
learning_rate=0.1,learning_rate,0.1,low_experience,589,0.6552062630653381,0.6365033222591362,0.6095076400679117
max_depth=3,max_depth,3,low_experience,589,0.6553635001182556,0.6434919316563834,0.6095076400679117
max_depth=5,max_depth,5,low_experience,589,0.6557255983352661,0.6409409112482203,0.601018675721562
max_depth=6,max_depth,6,low_experience,589,0.6535998582839966,0.6463692453725676,0.6196943972835314
min_child_weight=1,min_child_weight,1,low_experience,589,0.6554093360900879,0.6422164214523018,0.6179966044142614
min_child_weight=5,min_child_weight,5,low_experience,589,0.6544788479804993,0.6430766492643569,0.6129032258064516
min_child_weight=7,min_child_weight,7,low_experience,589,0.6529765129089355,0.6462565258661603,0.6264855687606112
n_estimators=150,n_estimators,150,low_experience,589,0.6546421647071838,0.6454022306597057,0.6196943972835314
n_estimators=500,n_estimators,500,low_experience,589,0.6546421647071838,0.6454022306597057,0.6196943972835314
n_estimators=800,n_estimators,800,low_experience,589,0.6546421647071838,0.6454022306597057,0.6196943972835314
reg_alpha=0.1,reg_alpha,0.1,low_experience,589,0.6552585959434509,0.6433970099667774,0.6179966044142614
reg_alpha=0.5,reg_alpha,0.5,low_experience,589,0.6544925570487976,0.6429757949691504,0.6213921901528013
reg_alpha=1.0,reg_alpha,1.0,low_experience,589,0.6555938720703125,0.6382415757000475,0.6061120543293718
reg_lambda=10.0,reg_lambda,10.0,low_experience,589,0.6540626883506775,0.6393628381585191,0.6162988115449916
reg_lambda=2.0,reg_lambda,2.0,low_experience,589,0.6557106375694275,0.6389534883720929,0.6230899830220713
reg_lambda=5.0,reg_lambda,5.0,low_experience,589,0.6556362509727478,0.6393569055529188,0.6112054329371817
subsample=0.6,subsample,0.6,low_experience,589,0.6551653742790222,0.6429876601803513,0.6095076400679117
subsample=0.7,subsample,0.7,low_experience,589,0.6514237523078918,0.647484575225439,0.6179966044142614
subsample=0.9,subsample,0.9,low_experience,589,0.655314564704895,0.6443462268628382,0.6264855687606112
subsample=1.0,subsample,1.0,low_experience,589,0.6576337218284607,0.6376601803512103,0.6179966044142614
baseline,baseline,baseline,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604
colsample_bytree=0.6,colsample_bytree,0.6,overall,1097,0.6563856601715088,0.6492261492261492,0.6153144940747494
colsample_bytree=0.7,colsample_bytree,0.7,overall,1097,0.6577179431915283,0.6479437582378759,0.6198723792160438
colsample_bytree=0.9,colsample_bytree,0.9,overall,1097,0.6550558805465698,0.6519454975337329,0.6080218778486782
colsample_bytree=1.0,colsample_bytree,1.0,overall,1097,0.6567336916923523,0.6484770970065088,0.6116681859617138
gamma=0.5,gamma,0.5,overall,1097,0.6562128067016602,0.649706833530363,0.6061987237921604
gamma=1.0,gamma,1.0,overall,1097,0.65545654296875,0.6493535390594214,0.6089334548769371
gamma=2.0,gamma,2.0,overall,1097,0.6554633975028992,0.6503420841656136,0.6134913400182316
learning_rate=0.03,learning_rate,0.03,overall,1097,0.6556791663169861,0.6486418545242074,0.5989061075660893
learning_rate=0.07,learning_rate,0.07,overall,1097,0.6576152443885803,0.6469144483850366,0.6071103008204193
learning_rate=0.1,learning_rate,0.1,overall,1097,0.6548452973365784,0.64968984821926,0.6116681859617138
max_depth=3,max_depth,3,overall,1097,0.6567125916481018,0.6493535390594214,0.6125797629899726
max_depth=5,max_depth,5,overall,1097,0.6580988168716431,0.6444142105906812,0.6025524156791249
max_depth=6,max_depth,6,overall,1097,0.6555789113044739,0.6514614161672985,0.6153144940747494
min_child_weight=1,min_child_weight,1,overall,1097,0.6568053960800171,0.6472422648893237,0.6034639927073838
min_child_weight=5,min_child_weight,5,overall,1097,0.6553129553794861,0.6507225551343199,0.6107566089334548
min_child_weight=7,min_child_weight,7,overall,1097,0.6546227931976318,0.6514885926650632,0.6162260711030082
n_estimators=150,n_estimators,150,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604
n_estimators=500,n_estimators,500,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604
n_estimators=800,n_estimators,800,overall,1097,0.6561974287033081,0.6497577894636719,0.6061987237921604
reg_alpha=0.1,reg_alpha,0.1,overall,1097,0.6563113331794739,0.6499004660769367,0.6125797629899726
reg_alpha=0.5,reg_alpha,0.5,overall,1097,0.6561119556427002,0.6474494856847798,0.6107566089334548
reg_alpha=1.0,reg_alpha,1.0,overall,1097,0.6562740206718445,0.6470282499694264,0.6025524156791249
reg_lambda=10.0,reg_lambda,10.0,overall,1097,0.6546995639801025,0.6493501419972009,0.6116681859617138
reg_lambda=2.0,reg_lambda,2.0,overall,1097,0.6569626331329346,0.6462944845297787,0.6125797629899726
reg_lambda=5.0,reg_lambda,5.0,overall,1097,0.6564378142356873,0.6472116913293384,0.6080218778486782
subsample=0.6,subsample,0.6,overall,1097,0.6572776436805725,0.6477246477246477,0.609845031905196
subsample=0.7,subsample,0.7,overall,1097,0.6534486413002014,0.6526198143845203,0.6080218778486782
subsample=0.9,subsample,0.9,overall,1097,0.6560388207435608,0.6503318929789519,0.6189608021877848
subsample=1.0,subsample,1.0,overall,1097,0.6561184525489807,0.6480541627600451,0.609845031905196
baseline,baseline,baseline,title_fights,42,0.6228060722351074,0.7619047619047619,0.6666666666666666
colsample_bytree=0.6,colsample_bytree,0.6,title_fights,42,0.6171225309371948,0.8140589569160998,0.7142857142857143
colsample_bytree=0.7,colsample_bytree,0.7,title_fights,42,0.6202413439750671,0.7981859410430838,0.6428571428571429
colsample_bytree=0.9,colsample_bytree,0.9,title_fights,42,0.6212878227233887,0.764172335600907,0.6666666666666666
colsample_bytree=1.0,colsample_bytree,1.0,title_fights,42,0.6090335845947266,0.8117913832199546,0.7619047619047619
gamma=0.5,gamma,0.5,title_fights,42,0.6228061318397522,0.7619047619047619,0.6666666666666666
gamma=1.0,gamma,1.0,title_fights,42,0.6194518208503723,0.7619047619047619,0.6904761904761905
gamma=2.0,gamma,2.0,title_fights,42,0.6187703609466553,0.7687074829931972,0.6666666666666666
learning_rate=0.03,learning_rate,0.03,title_fights,42,0.6171247959136963,0.7777777777777778,0.7142857142857143
learning_rate=0.07,learning_rate,0.07,title_fights,42,0.6200822591781616,0.7551020408163265,0.6904761904761905
learning_rate=0.1,learning_rate,0.1,title_fights,42,0.6052653193473816,0.7845804988662132,0.7142857142857143
max_depth=3,max_depth,3,title_fights,42,0.613140344619751,0.8095238095238095,0.7380952380952381
max_depth=5,max_depth,5,title_fights,42,0.622905969619751,0.7233560090702948,0.6666666666666666
max_depth=6,max_depth,6,title_fights,42,0.6185309290885925,0.7936507936507936,0.6904761904761905
min_child_weight=1,min_child_weight,1,title_fights,42,0.6257253289222717,0.746031746031746,0.6904761904761905
min_child_weight=5,min_child_weight,5,title_fights,42,0.6140844821929932,0.782312925170068,0.7380952380952381
min_child_weight=7,min_child_weight,7,title_fights,42,0.6190460920333862,0.7596371882086168,0.7142857142857143
n_estimators=150,n_estimators,150,title_fights,42,0.6228060722351074,0.7619047619047619,0.6666666666666666
n_estimators=500,n_estimators,500,title_fights,42,0.6228060722351074,0.7619047619047619,0.6666666666666666
n_estimators=800,n_estimators,800,title_fights,42,0.6228060722351074,0.7619047619047619,0.6666666666666666
reg_alpha=0.1,reg_alpha,0.1,title_fights,42,0.6229702830314636,0.7573696145124716,0.6666666666666666
reg_alpha=0.5,reg_alpha,0.5,title_fights,42,0.6177560687065125,0.7732426303854875,0.6666666666666666
reg_alpha=1.0,reg_alpha,1.0,title_fights,42,0.6200898885726929,0.761904761904762,0.6904761904761905
reg_lambda=10.0,reg_lambda,10.0,title_fights,42,0.6150385141372681,0.7800453514739228,0.7142857142857143
reg_lambda=2.0,reg_lambda,2.0,title_fights,42,0.6176305413246155,0.7709750566893424,0.6904761904761905
reg_lambda=5.0,reg_lambda,5.0,title_fights,42,0.6188157200813293,0.7800453514739228,0.7380952380952381
subsample=0.6,subsample,0.6,title_fights,42,0.6270012855529785,0.7732426303854875,0.6666666666666666
subsample=0.7,subsample,0.7,title_fights,42,0.6189619302749634,0.7596371882086168,0.7142857142857143
subsample=0.9,subsample,0.9,title_fights,42,0.6093837022781372,0.8163265306122448,0.7380952380952381
subsample=1.0,subsample,1.0,title_fights,42,0.6149246692657471,0.7891156462585034,0.7380952380952381
baseline,baseline,baseline,weight_class:bantamweight,122,0.6216505169868469,0.7486720715683532,0.6639344262295082
